name,ade1s,ade2s,ade3s,avgade
1,0.9014154892690556,2.7238861895495114,3.2421230943830937,2.2891415910672204
2,1.724194687006489,4.098373399957898,5.183213202114745,3.668593763026377
3,0.4765228873031475,0.8422086452941455,1.027217250828484,0.7819829278085924
4,0.6547788155919705,4.5558910367678305,4.743860567483007,3.3181768066142694
5,1.0496245009226919,2.166529763566078,2.541281318812359,1.9191451944337097
6,1.914539808704551,2.3199842436273213,3.1603274994547728,2.4649505172622153
7,2.0524234290728325,2.898004980446303,4.333867328169653,3.0947652458962627
8,1.7240347855218503,2.391236452927929,3.0608908151345373,2.392054017861439
9,0.9224108605895232,4.139812759717739,3.573670436052231,2.878631352119831
10,1.053256945686787,4.867754233149352,4.69306010945374,3.538023762763293
11,1.2916324375992765,3.355634110769079,4.012683543326831,2.8866500305650624
12,0.7733032277585699,5.026373436679287,5.216672095725782,3.672116253387879
13,0.7106484733091224,3.786977733700502,4.031815709749631,2.8431473055864185
14,2.072437478692326,4.377049992191537,5.942283042746118,4.130590171209994
15,1.2778025255091678,1.9379577152673648,2.324634369962998,1.8467982035798436
16,1.7946321847067668,4.619189738691132,5.555900506346573,3.989907476581491
17,1.843204734630265,2.389683114352068,2.873989783051208,2.368959210677847
18,1.0756742396975603,2.311077933953535,3.047443196783935,2.14473179014501
19,0.9880911208502287,1.9036652629006283,2.456994161555046,1.7829168484353008
20,1.4231975714271403,2.943124445309099,4.1417228208378,2.8360149458580133
21,0.6063432831807639,1.046341692639064,1.3651943512695452,1.0059597756964578
22,1.8010595885106206,4.278426576029387,4.9115383670781165,3.6636748438727076
23,1.3315015867784297,5.033898893424455,5.5519728198383955,3.9724577666804266
24,2.0252708868597162,2.9164449850944427,4.451013977617727,3.1309099498572954
25,0.48294680725230543,0.8933050689585592,1.3211081507358728,0.8991200089822459
26,0.9252642827926211,3.2476324738279096,3.4728806668618524,2.5485924744941273
27,2.1462712126892844,5.326059163238781,6.856995880594222,4.776442085507429
28,1.6114678261392268,2.954276077396634,4.067827684927973,2.8778571961546113
29,2.9710463206947772e-05,4.4825955009007224e-05,5.732163418593889e-05,4.395268413396463e-05
30,1.2265505450751364,2.839478532563148,3.1383614655891106,2.401463514409132
31,1.831870624215305,4.520646695762907,6.288463930050244,4.213660416676152
32,1.6113007708018234,3.6698270779112514,4.9346978448759575,3.405275231196344
33,1.279647829952959,3.8172933925517696,3.3859257277802883,2.8276223167616723
34,1.5319004489902082,3.638700435986037,4.201240210153446,3.1239470317098976
35,1.7168115601738005,3.868367449230965,4.214653430874209,3.266610813426325
36,0.8881551452713239,4.160841700418506,3.5043985589402786,2.8511318015433695
38,1.1114447917373629,4.8525747286920415,5.529101475012629,3.831040331814011
39,1.3481359938938897,4.96248201088427,4.731744589270822,3.6807875313496603
41,2.103421807951695,4.4789066484102555,6.022019843741708,4.201449433367887
42,1.1422470300283256,4.710459987645008,4.25792000619092,3.370209007954751
43,2.4101933612293043,2.1672392011143518,3.6098884180194077,2.7291069934543546
44,3.0805533961868146,5.187499080692433,6.976980613991311,5.081677696956853
45,2.211402888628614,2.9649671049776654,3.9597480532875493,3.045372682297943
46,2.134158003563562,2.0301179504031275,3.3974036262389915,2.5205598600685604
47,1.4456862407481565,4.15488552135916,3.91298186648359,3.171184542863635
48,2.5237287198598173,4.214246172251801,5.942234145980419,4.2267363460306795
49,3.2850463395506337,4.389017056023992,6.096572916115974,4.590212103896866
50,2.3294080228124643,3.9940614035773763,5.260596171735676,3.861355199375172
51,3.581352668759243,3.8962459432056495,5.609918925386682,4.362505845783859
52,2.169700738545731,5.15882825126716,6.441918486059846,4.5901491586242456
53,0.7692988334687874,5.351258355635962,5.662663572330198,3.927740253811649
54,0.8609569393478784,4.510874313817899,5.124898094261825,3.498909782475868
55,1.2598801426456325,5.106173375686237,5.355678638993687,3.9072440524418517
